,tag,course_no,program_code
0,Language,5501112,121001
1,Language,5501123,121001
2,Language,5501214,121001
3,Language,5501225,121001
4,Specail General Education,2140111,121001
5,Specail General Education,2189336,121001
6,Basic Science and Mathematics Course,2301107,121001
7,Basic Science and Mathematics Course,2301108,121001
8,Basic Science and Mathematics Course,2302103,121001
9,Basic Science and Mathematics Course,2302105,121001
10,Basic Science and Mathematics Course,2303111,121001
11,Basic Science and Mathematics Course,2303112,121001
12,Basic Science and Mathematics Course,2304153,121001
13,Basic Science and Mathematics Course,2304154,121001
14,Basic Science and Mathematics Course,2304193,121001
15,Basic Science and Mathematics Course,2304194,121001
16,Basic  Engineering Course,2140301,121001
17,Basic  Engineering Course,2182201,121001
18,Basic  Engineering Course,2182203,121001
19,Basic  Engineering Course,2183101,121001
20,Basic  Engineering Course,2184303,121001
21,Basic  Engineering Course,2185222,121001
22,Basic  Engineering Course,2185320,121001
23,Basic  Engineering Course,2189101,121001
24,Basic  Engineering Course,2189201,121001
25,Basic  Engineering Course,2190101,121001
26,Basic  Engineering Course,2190151,121001
27,Required Courses in the Area of Concentration,2141490,121001
28,Required Courses in the Area of Concentration,2141491,121001
29,Required Courses in the Area of Concentration,2141498,121001
30,Required Courses in the Area of Concentration,2141499,121001
31,Required Courses in the Area of Concentration,2182210,121001
32,Required Courses in the Area of Concentration,2182213,121001
33,Required Courses in the Area of Concentration,2182280,121001
34,Required Courses in the Area of Concentration,2182311,121001
35,Required Courses in the Area of Concentration,2183211,121001
36,Required Courses in the Area of Concentration,2185220,121001
37,Required Courses in the Area of Concentration,2185221,121001
38,Required Courses in the Area of Concentration,2185322,121001
39,Required Courses in the Area of Concentration,2185333,121001
40,Required Courses in the Area of Concentration,2189341,121001
41,Nanoelectronics,2182440,121001
42,Nanoelectronics,2183411,121001
43,NanoChemistry,2185324,121001
44,NanoChemistry,2185373,121001
45,NanoBiomedical,2141350,121001
46,NanoBiomedical,2182441,121001
47,NanoMaterials,2141400,121001
48,NanoMaterials,2189301,121001
49,Elective Course,2141331,121001
50,Elective Course,2141347,121001
51,Elective Course,2141451,121001
52,Elective Course,2141474,121001
53,Elective Course,2141511,121001
54,Elective Course,2141512,121001
55,Elective Course,2182330,121001
56,Elective Course,2182443,121001
57,Elective Course,2182480,121001
58,Elective Course,2182580,121001
59,Elective Course,2183412,121001
60,Elective Course,2183431,121001
61,Elective Course,2185323,121001
62,Elective Course,2185452,121001
63,Elective Course,2185479,121001
64,Elective Course,2189411,121001
65,Elective Course,2189417,121001
66,Elective Course,2189450,121001
67,Language,5501112,121002
68,Language,5501123,121002
69,Language,5501214,121002
70,Language,5501225,121002
71,Specail General Education,2140111,121002
72,Specail General Education,2183281,121002
73,Basic Science and Mathematics Course,2190151,121002
74,Basic Science and Mathematics Course,2301107,121002
75,Basic Science and Mathematics Course,2301108,121002
76,Basic Science and Mathematics Course,2301312,121002
77,Basic Science and Mathematics Course,2302103,121002
78,Basic Science and Mathematics Course,2302105,121002
79,Basic Science and Mathematics Course,2304153,121002
80,Basic Science and Mathematics Course,2304154,121002
81,Basic Science and Mathematics Course,2304193,121002
82,Basic Science and Mathematics Course,2304194,121002
83,Basic Engineering Course,2140301,121002
84,Basic Engineering Course,2142251,121002
85,Basic Engineering Course,2142252,121002
86,Basic Engineering Course,2182210,121002
87,Basic Engineering Course,2182213,121002
88,Basic Engineering Course,2183101,121002
89,Basic Engineering Course,2183212,121002
90,Basic Engineering Course,2184201,121002
91,Basic Engineering Course,2184303,121002
92,Basic Engineering Course,2189101,121002
93,Basic Engineering Course,2190101,121002
94,Required Courses in the Area of Concentration,2142201,121002
95,Required Courses in the Area of Concentration,2142242,121002
96,Required Courses in the Area of Concentration,2142498,121002
