,tag,course_no,program_code
0,กลุ่มวิชาภาษาต่างประเทศ,5501112,121001
1,กลุ่มวิชาภาษาต่างประเทศ,5501123,121001
2,กลุ่มวิชาภาษาต่างประเทศ,5501214,121001
3,กลุ่มวิชาภาษาต่างประเทศ,5501225,121001
4,กลุ่มวิชาศึกษาทั่วไปกลุ่มพิเศษ,2140111,121001
5,กลุ่มวิชาศึกษาทั่วไปกลุ่มพิเศษ,2189336,121001
6,กลุ่มวิชาบังคับพื้นฐานทางคณิตศาสตร์และวิทยาศาสตร์,2301107,121001
7,กลุ่มวิชาบังคับพื้นฐานทางคณิตศาสตร์และวิทยาศาสตร์,2301108,121001
8,กลุ่มวิชาบังคับพื้นฐานทางคณิตศาสตร์และวิทยาศาสตร์,2302103,121001
9,กลุ่มวิชาบังคับพื้นฐานทางคณิตศาสตร์และวิทยาศาสตร์,2302105,121001
10,กลุ่มวิชาบังคับพื้นฐานทางคณิตศาสตร์และวิทยาศาสตร์,2303111,121001
11,กลุ่มวิชาบังคับพื้นฐานทางคณิตศาสตร์และวิทยาศาสตร์,2303112,121001
12,กลุ่มวิชาบังคับพื้นฐานทางคณิตศาสตร์และวิทยาศาสตร์,2304153,121001
13,กลุ่มวิชาบังคับพื้นฐานทางคณิตศาสตร์และวิทยาศาสตร์,2304154,121001
14,กลุ่มวิชาบังคับพื้นฐานทางคณิตศาสตร์และวิทยาศาสตร์,2304193,121001
15,กลุ่มวิชาบังคับพื้นฐานทางคณิตศาสตร์และวิทยาศาสตร์,2304194,121001
16,กลุ่มวิชาบังคับพื้นฐานทางวิศวกรรม,2140301,121001
17,กลุ่มวิชาบังคับพื้นฐานทางวิศวกรรม,2182201,121001
18,กลุ่มวิชาบังคับพื้นฐานทางวิศวกรรม,2182203,121001
19,กลุ่มวิชาบังคับพื้นฐานทางวิศวกรรม,2183101,121001
20,กลุ่มวิชาบังคับพื้นฐานทางวิศวกรรม,2184303,121001
21,กลุ่มวิชาบังคับพื้นฐานทางวิศวกรรม,2185222,121001
