program_code,program_name,degree_granted,faculty,degree_level
121001,Nano-Engineering (International Program),Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121002,Automotive Design and Manufacturing Engineering (International Program),Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121003,Aerospace Engineering (International Program),Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121004,Information and Communication Engineering,Bachelor of Engineering ( E.Eng. ),Faculty of Engineering,Bachelor
121010,Civil Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121020,Electrical Engineering,Bachelor of Engineering ( B.Eng. (Electrical Engineering) ),Faculty of Engineering,Bachelor
121030,Mechanical Engineering,Bachelor of Engineering ( B.Eng. (Mechanical Engineering) ),Faculty of Engineering,Bachelor
121032,Automotive Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121033,Naval Architecture and Marine Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121040,Industrail Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121050,Chemical Engineering,Bachelor of Engineering ( B.ENG (Chemical Engineering) ),Faculty of Engineering,Bachelor
121061,Georesources Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121062,Petroleum Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121070,Environmental Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121080,Survey Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121090,Metallurgical Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121100,Computer Engineering,Bacherlor of Engineering ( B.Eng ),Faculty of Engineering,Bachelor
122001,Language and Culture,Bachelor of Arts ( B.A. ),Faculty of Arts,Bachelor
122010,Thai,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122020,English,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122040,History,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122050,Geography,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122062,Information Studies,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122070,Philosophy,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122080,Dramatic Arts,Bachelor of Arts ( B.A. ),Faculty of Arts,Bachelor
122210,Pali and Sanskrit,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122220,Chinese,Bachelor of Arts ( B.A. ),Faculty of Arts,Bachelor
122230,Japanese,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122310,French,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122320,German,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122330,Spanish,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122340,Italian,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
123010,Mathematics,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123011,Computer Science,Bachelor of Science ( B. Sc. ),Faculty of Science,Bachelor
123020,Chemistry,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123022,Applied Chemistry (International Program),Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123030,Biology,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123031,Zoology,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123040,Physics,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
