program_code,program_name_thai,degree_granted_thai,faculty_thai,degree_level_thai
121001,วิศวกรรมนาโน (หลักสูตรนานาชาติ),วิศวกรรมศาสตรบัณฑิต ( วศ.บ. ),คณะวิศวกรรมศาสตร์,ปริญญาบัณฑิต
121002,วิศวกรรมการออกแบบและการผลิตยานยนต์ (หลักสูตรนานาชาติ),วิศวกรรมศาสตรบัณฑิต ( วศ.บ. ),คณะวิศวกรรมศาสตร์,ปริญญาบัณฑิต
121003,วิศวกรรมอากาศยาน(หลักสูตรนานาชาติ),วิศวกรรมศาสตรบัณฑิต ( วศ.บ. ),คณะวิศวกรรมศาสตร์,ปริญญาบัณฑิต
121004,วิศวกรรมสารสนเทศและการสื่อสาร(นานาชาติ),วิศวกรรมศาสตรบัณฑิต ( วศ.บ. ),คณะวิศวกรรมศาสตร์,ปริญญาบัณฑิต
121010,วิศวกรรมโยธา,วิศวกรรมศาสตรบัณฑิต ( วศ.บ. ),คณะวิศวกรรมศาสตร์,ปริญญาบัณฑิต
121020,วิศวกรรมไฟฟ้า,วิศวกรรมศาสตรบัณฑิต ( วศ.บ. ),คณะวิศวกรรมศาสตร์,ปริญญาบัณฑิต
121030,วิศวกรรมเครื่องกล,วิศวกรรมศาสตรบัณฑิต ( วศ.บ. ),คณะวิศวกรรมศาสตร์,ปริญญาบัณฑิต
121032,วิศวกรรมยานยนต์,วิศวกรรมศาสตรบัณฑิต ( วศ.บ. ),คณะวิศวกรรมศาสตร์,ปริญญาบัณฑิต
121033,วิศวกรรมเรือ,วิศวกรรมศาสตรบัณฑิต ( วศ.บ. ),คณะวิศวกรรมศาสตร์,ปริญญาบัณฑิต
121040,วิศวกรรมอุตสาหการ,วิศวกรรมศาสตรบัณฑิต ( วศ.บ. ),คณะวิศวกรรมศาสตร์,ปริญญาบัณฑิต
121050,วิศวกรรมเคมี,วิศวกรรมศาสตรบัณฑิต ( วศ.บ. ),คณะวิศวกรรมศาสตร์,ปริญญาบัณฑิต
121061,วิศวกรรมทรัพยากรธรณี,วิศวกรรมศาสตรบัณฑิต ( วศ.บ. ),คณะวิศวกรรมศาสตร์,ปริญญาบัณฑิต
